search_time	search_id	listing_type	property_type	search_location	search_price_min	search_price_max	platform	user_id
2018-07-01 9:32:31	546	rent		dtdistrict08	1500	3000	web	u1959
2018-07-01 9:32:34	547	sale	condo	dtdistrict19		1000000	web	u1919
2018-07-01 9:33:52	548	sale	condo	dtdistrict19		1000000	web	u1919
2018-07-01 9:34:02	549	rent		dtdistrict08	1500	3000	web	u1959
2018-07-01 9:34:09	550	rent		dtdistrict08	1500	3000	web	u1959
2018-07-01 9:36:43	551	sale	condo	dtdistrict19		1000000	web	u1919
2018-07-01 9:37:01	552	sale	condo	dtdistrict19		1000000	web	u1919
2018-07-01 9:37:26	553	sale	condo	dtdistrict19		1000000	web	u1919
2018-07-01 9:38:03	554	sale	condo	dtdistrict19		1000000	web	u1919
2018-07-01 9:38:44	555	sale	condo	dtdistrict19		1000000	web	u1919
2018-07-01 9:39:40	556	sale	condo	dtdistrict19		1000000	web	u1919
2018-07-01 9:45:00	557	sale	condo	dtdistrict09,dtdistrict10,dtdistrict11		1800000	web	u225
2018-07-01 9:45:25	558	sale	condo	dtdistrict09,dtdistrict10,dtdistrict11		1800000	web	u225
2018-07-01 9:45:48	559	sale	condo	dtdistrict09,dtdistrict10,dtdistrict11		1800000	web	u225
2018-07-01 9:47:02	560	sale	condo	dtdistrict09,dtdistrict10,dtdistrict11		1800000	web	u225
2018-07-01 9:47:03	561	sale	condo	dtdistrict09,dtdistrict10,dtdistrict11		1800000	web	u225
2018-07-01 9:47:57	562	sale	condo	dtdistrict09,dtdistrict10,dtdistrict11		1800000	web	u225
2018-07-01 9:48:20	563	sale	condo	dtdistrict09,dtdistrict10,dtdistrict11		1800000	web	u225
2018-07-01 9:48:30	564	sale	condo	dtdistrict09,dtdistrict10,dtdistrict11		1800000	web	u225
2018-07-01 9:48:36	565	sale	condo	dtdistrict09,dtdistrict10,dtdistrict11		1800000	web	u225
2018-07-01 9:48:54	566	sale	condo	dtdistrict09,dtdistrict10,dtdistrict11		1800000	web	u225
2018-07-01 9:48:59	567	sale	condo	dtdistrict09,dtdistrict10,dtdistrict11		1800000	web	u225
2018-07-01 9:49:03	568	sale	condo	dtdistrict09,dtdistrict10,dtdistrict11		1800000	web	u225
2018-07-01 9:49:08	569	sale	condo	dtdistrict09,dtdistrict10,dtdistrict11		1800000	web	u225
2018-07-01 9:49:13	570	sale	condo	dtdistrict09,dtdistrict10,dtdistrict11		1800000	web	u225
2018-07-01 9:49:17	571	sale	condo	dtdistrict09,dtdistrict10,dtdistrict11		1800000	web	u225
2018-07-01 9:49:25	572	sale	condo	dtdistrict09,dtdistrict10,dtdistrict11		1800000	web	u225
2018-07-01 9:50:11	573	sale	condo	dtdistrict09,dtdistrict10,dtdistrict11		1800000	web	u225
2018-07-01 9:51:48	574	sale	condo	dtdistrict19		1000000	web	u1919
2018-07-01 9:51:58	575	sale	condo	dtdistrict19		1000000	web	u1919
2018-07-01 9:52:17	576	sale	condo	dtdistrict19		1000000	web	u1919
2018-07-01 9:52:47	577	sale	condo	dtdistrict09,dtdistrict10,dtdistrict11		1800000	web	u225
2018-07-01 9:53:38	578	sale		dtdistrict19		900000	web	u149
2018-07-01 9:53:39	579	sale	condo	dtdistrict19		900000	web	u149
2018-07-01 9:53:40	580	sale		dtdistrict19		900000	web	u149
2018-07-01 9:53:42	581	sale	condo	dtdistrict19		900000	web	u149
2018-07-01 9:53:47	582	sale	condo	dtdistrict19		900000	web	u149
2018-07-01 9:53:49	583	sale	condo	dtdistrict19		900000	web	u149
2018-07-01 9:53:50	584	sale	condo	dtdistrict19		900000	web	u149
2018-07-01 9:53:50	585	sale	condo	dtdistrict19		900000	web	u149
2018-07-01 9:53:51	586	sale	condo	dtdistrict19		900000	web	u149
2018-07-01 9:53:52	587	sale	condo	dtdistrict19		900000	web	u149
2018-07-01 9:53:53	588	sale	condo	dtdistrict19		900000	web	u149
2018-07-01 9:54:07	589	sale	condo	dtdistrict09,dtdistrict10,dtdistrict11		1800000	web	u225
2018-07-01 9:54:17	590	sale	condo	dtdistrict19		900000	web	u149
2018-07-01 9:54:18	591	sale	condo	dtdistrict19		900000	web	u149
2018-07-01 9:54:31	592	sale	condo	dtdistrict09,dtdistrict10,dtdistrict11		1800000	web	u225
2018-07-01 9:54:49	593	sale	condo	dtdistrict09,dtdistrict10,dtdistrict11	1000000	1800000	web	u225
2018-07-01 9:55:04	594	sale	condo	dtdistrict19		900000	web	u149
2018-07-01 9:55:14	595	sale	condo	dtdistrict19		900000	web	u149
2018-07-01 9:55:21	596	sale	condo	dtdistrict19		900000	web	u149
2018-07-01 9:55:35	597	sale	condo	dtdistrict19		900000	web	u149
2018-07-01 9:55:42	598	sale	condo	dtdistrict19		900000	web	u149
